gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	3.987214341982308e-05
ACAP1	9606.ENSP00000158762	4.626116824589678e-06
COPA	9606.ENSP00000357048	2.9452329724508935e-05
RAB11FIP3	9606.ENSP00000262305	2.2017569014911886e-05
COPB2	9606.ENSP00000329419	3.904804528633473e-05
COPE	9606.ENSP00000469035	2.4851641905517028e-05
ARF3	9606.ENSP00000256682	5.129933007725149e-05
ARFGAP1	9606.ENSP00000314615	1.885497934729453e-05
RAB11FIP1	9606.ENSP00000331342	1.1771439516623893e-05
CYTH1	9606.ENSP00000389095	3.260767560314363e-05
IQSEC1	9606.ENSP00000480301	9.583382251931191e-06
RAB11A	9606.ENSP00000261890	9.276756242935836e-05
ARFGAP2	9606.ENSP00000434442	1.4094726907683912e-05
COPB1	9606.ENSP00000249923	4.530822170036217e-05
ARF4	9606.ENSP00000306010	4.001794479278349e-05
ASAP1	9606.ENSP00000429900	3.579213304493311e-05
RAB11FIP4	9606.ENSP00000482620	1.1583944224823838e-05
GORAB	9606.ENSP00000356737	6.752793470157497e-06
ACAP2	9606.ENSP00000324287	4.626116824589678e-06
ARFGAP3	9606.ENSP00000263245	1.2373498818396548e-05
ARFIP1	9606.ENSP00000296557	1.2723316860897948e-05
ARF1	9606.ENSP00000440005	0.00011679253641495627
CDKN2A	9606.ENSP00000418915	0.0019791709995109594
GBF1	9606.ENSP00000359000	1.720277587939641e-05
ARFIP2	9606.ENSP00000484121	2.0495313869898065e-05
AGAP1	9606.ENSP00000307634	3.643942507947852e-06
ASAP2	9606.ENSP00000281419	8.56965575759289e-06
COPZ1	9606.ENSP00000449270	2.1733944337443028e-05
M6PR	9606.ENSP00000000412	7.65359779737113e-06
GGA3	9606.ENSP00000438085	4.1507446605955465e-05
VTI1A	9606.ENSP00000376792	6.04170154346367e-05
TGOLN2	9606.ENSP00000386443	4.2850541043529705e-05
GGA2	9606.ENSP00000311962	1.5666047096058206e-05
GGA1	9606.ENSP00000371175	3.774680398732202e-05
IGF2R	9606.ENSP00000349437	4.818466935504257e-05
PLIN3	9606.ENSP00000221957	1.6864747369052136e-05
FKBP4	9606.ENSP00000001008	5.696943493880288e-05
STIP1	9606.ENSP00000351646	8.900838230804004e-05
NR3C2	9606.ENSP00000350815	3.631077580601131e-05
FKBP5	9606.ENSP00000444810	9.06032564531623e-05
SERPINB2	9606.ENSP00000401645	1.6020162794413237e-05
HSPA8	9606.ENSP00000437125	0.0004288968440282511
GLMN	9606.ENSP00000359385	0.00040931518356373457
HSF1	9606.ENSP00000431512	9.072218581164923e-05
HSPA2	9606.ENSP00000378199	9.152967323540594e-05
MTOR	9606.ENSP00000354558	0.0004665589804437799
AKT1	9606.ENSP00000451828	0.0027990295630814926
PTGES3	9606.ENSP00000482075	0.0001192288287341291
DNAJB1	9606.ENSP00000254322	0.00012087569198627595
PPID	9606.ENSP00000303754	4.927472770252061e-05
HSP90AB1	9606.ENSP00000360609	0.0007548568602702996
HSPA4	9606.ENSP00000302961	0.0005280527185540609
CDC37L1	9606.ENSP00000371278	1.436904185822151e-05
CDC37	9606.ENSP00000222005	0.000105758236183411
NR3C1	9606.ENSP00000231509	0.00022944313360113094
HSP90AA1	9606.ENSP00000335153	0.0008844254902412378
PHYH	9606.ENSP00000263038	1.950808999441477e-05
PGR	9606.ENSP00000325120	0.00017277429320996637
S100A1	9606.ENSP00000292169	3.4164671155640585e-05
AHSA1	9606.ENSP00000216479	4.625786344854447e-05
DCTN2	9606.ENSP00000408910	9.192981787525805e-05
PHLPP1	9606.ENSP00000262719	4.510868336438927e-05
CLCA1	9606.ENSP00000234701	2.0606370765257928e-05
ADSL	9606.ENSP00000485525	0.000146085252347926
HSPA1A	9606.ENSP00000364802	8.157881984739124e-05
ESR1	9606.ENSP00000405330	0.0005688445441383237
AR	9606.ENSP00000363822	0.00030266746045047664
HSPA1B	9606.ENSP00000364801	0.00014159616946922773
CHUK	9606.ENSP00000359424	0.0005734992093412859
CYP26B1	9606.ENSP00000001146	7.188846893200315e-05
CYP2C9	9606.ENSP00000260682	0.00043866597825786683
CYP4A22	9606.ENSP00000360958	0.00015164798654846733
CYP3A7	9606.ENSP00000337450	0.0001247706005185099
CYP3A5	9606.ENSP00000222982	0.00035231576456369644
CRABP1	9606.ENSP00000299529	1.3229968608190228e-05
CYP2C8	9606.ENSP00000360317	0.00044767261727657467
CYP2S1	9606.ENSP00000308032	0.00023996973358361842
RDH10	9606.ENSP00000240285	3.3898799257082826e-05
ALDH1A1	9606.ENSP00000297785	0.00015895836162022696
CYP26A1	9606.ENSP00000224356	0.00016668533226603345
CYP26C1	9606.ENSP00000498424	6.442675466574005e-05
CYP3A7-CYP3A51P	9606.ENSP00000480571	0.00011884192931712412
CYP1A2	9606.ENSP00000342007	0.00043060548379441287
CYP3A4	9606.ENSP00000498939	0.0004729441375666204
CYP1A1	9606.ENSP00000378488	0.0005004787330073739
AOX1	9606.ENSP00000363832	0.000196763662671341
CYP2C18	9606.ENSP00000285979	0.00024679172573801645
CYP2A6	9606.ENSP00000301141	0.00039719939760361566
UGT2B7	9606.ENSP00000304811	0.00014888321812751376
CYP2B6	9606.ENSP00000324648	0.0004022800162094857
CYP4A11	9606.ENSP00000311095	0.00017726107469390187
UGT2A2	9606.ENSP00000475028	0.00010597083834825978
STRA8	9606.ENSP00000275764	1.747773495733234e-05
ALDH1A3	9606.ENSP00000332256	0.00010883871160723142
ALDH1A2	9606.ENSP00000249750	0.0001076273144508022
NA	9606.ENSP00000341021	1.9776850911103e-05
UGT1A6	9606.ENSP00000303174	0.00020669540289636022
NDUFAF7	9606.ENSP00000002125	1.4744001151616572e-05
NDUFAF3	9606.ENSP00000323076	4.386828814217672e-05
NDUFAF6	9606.ENSP00000379430	2.8139439815442037e-05
NDUFA7	9606.ENSP00000301457	6.0399595849747874e-05
NDUFS3	9606.ENSP00000263774	0.00017539070236242743
NDUFS2	9606.ENSP00000356972	0.00014222101368337037
TIMMDC1	9606.ENSP00000418803	3.396916418096332e-05
NDUFA10	9606.ENSP00000252711	7.56101559959109e-05
NDUFS8	9606.ENSP00000315774	0.00017216837533334703
NDUFAF4	9606.ENSP00000358272	3.826336747714398e-05
NDUFS7	9606.ENSP00000233627	9.248755807802675e-05
NDUFAF1	9606.ENSP00000260361	4.312090832153863e-05
TMEM126B	9606.ENSP00000351737	2.5675523925613537e-05
NDUFAF5	9606.ENSP00000367346	2.8545314239274923e-05
NUBPL	9606.ENSP00000281081	2.7871631531351446e-05
NDUFAF2	9606.ENSP00000296597	4.0938468007244266e-05
NDUFB5	9606.ENSP00000259037	7.982959865477007e-05
NDUFA13	9606.ENSP00000423673	0.00010338867309949673
ATP5F1C	9606.ENSP00000349142	0.00017717440366218568
ACAD9	9606.ENSP00000312618	3.972267104172037e-05
ECSIT	9606.ENSP00000270517	3.740835246066428e-05
TMEM186	9606.ENSP00000331640	7.289287498094131e-06
NDUFA5	9606.ENSP00000417142	0.00010210886477769159
FUCA2	9606.ENSP00000002165	3.5927308942635954e-06
FUCA1	9606.ENSP00000363603	1.8253957254287847e-05
GLB1	9606.ENSP00000306920	7.347686867060608e-05
HS3ST1	9606.ENSP00000002596	7.493945347910808e-06
HS2ST1	9606.ENSP00000359581	1.5639927934986595e-05
SULT1C3	9606.ENSP00000333310	1.7620455619383477e-05
UST	9606.ENSP00000356433	1.2253802670412895e-06
GLCE	9606.ENSP00000261858	7.461359881478957e-06
SULT1B1	9606.ENSP00000308770	1.7962293146255522e-05
SULT1C4	9606.ENSP00000272452	1.8935763203966877e-05
HS6ST1	9606.ENSP00000259241	8.307081577228002e-06
SEMA3F	9606.ENSP00000002829	6.863291542474251e-06
PLXNA4	9606.ENSP00000352882	3.466351778523319e-05
PLXNA1	9606.ENSP00000377061	4.211630272294668e-05
NRCAM	9606.ENSP00000368314	2.50495725897181e-05
NRP1	9606.ENSP00000265371	8.729499929598714e-05
PLXND1	9606.ENSP00000317128	3.237198068758733e-05
NRP2	9606.ENSP00000353582	2.7734173394264996e-05
PLXNA3	9606.ENSP00000358696	2.9110279193485748e-05
CFTR	9606.ENSP00000003084	9.97246212083792e-05
PRKACG	9606.ENSP00000366488	0.00044773361969958144
RNF5	9606.ENSP00000364235	3.918427623411282e-05
CANX	9606.ENSP00000247461	0.00017136258202485755
PRSS1	9606.ENSP00000308720	3.173243349209839e-05
GOPC	9606.ENSP00000357484	2.1749426654228743e-05
CLCA2	9606.ENSP00000359596	5.246100431981568e-06
SCNN1B	9606.ENSP00000345751	2.5535702536533138e-05
PDZD3	9606.ENSP00000347742	4.214210618377274e-06
SLC26A9	9606.ENSP00000356102	1.2010061800371744e-06
SLC26A4	9606.ENSP00000494017	3.0529560216782156e-05
HSPB1	9606.ENSP00000248553	0.0001967198108241791
YWHAB	9606.ENSP00000361930	0.00013856490847520607
PRKAG3	9606.ENSP00000397133	9.700831234874706e-05
DERL1	9606.ENSP00000259512	7.69822669423713e-05
TJP1	9606.ENSP00000348416	0.00017161529727923434
PRKACA	9606.ENSP00000309591	0.0004759215862377041
RNF185	9606.ENSP00000320508	1.6028230291489386e-05
SLC26A8	9606.ENSP00000347778	3.1169328943930634e-06
CTRC	9606.ENSP00000365116	1.1528909011233673e-05
PRSS2	9606.ENSP00000488437	1.2839114131694047e-05
SLC26A3	9606.ENSP00000345873	1.6381799207707265e-05
KRT8	9606.ENSP00000449404	3.6324708612872095e-05
SLC12A2	9606.ENSP00000262461	2.06146165238058e-05
PRKAG1	9606.ENSP00000323867	0.00010100681369983065
SCNN1G	9606.ENSP00000300061	2.661919429719125e-05
CLCA4	9606.ENSP00000359594	6.165814276212154e-06
DAB2	9606.ENSP00000313391	5.3479439967405946e-05
GUCY2C	9606.ENSP00000261170	4.451331605488862e-05
PRKAB2	9606.ENSP00000254101	0.00010216070250634017
SLC26A5	9606.ENSP00000304783	7.354952820150417e-06
ABCG2	9606.ENSP00000498246	3.7864902485875225e-05
GUCA2B	9606.ENSP00000361662	5.887298776521574e-06
SLC9A3R2	9606.ENSP00000408005	2.6965933250578962e-05
BCAP31	9606.ENSP00000392330	5.266892309601088e-05
PRKAB1	9606.ENSP00000441369	9.654066104724946e-05
KCNJ1	9606.ENSP00000376432	2.7026526075059117e-05
GUCA2A	9606.ENSP00000349493	1.076071411879207e-05
FLNA	9606.ENSP00000358866	0.00013964601692356948
PRKAG2	9606.ENSP00000287878	0.0001257995994531928
YWHAG	9606.ENSP00000306330	7.572295745168771e-05
ANO1	9606.ENSP00000347454	1.3566796902885549e-05
SCNN1A	9606.ENSP00000353292	2.8152478156875853e-05
PRKAA1	9606.ENSP00000346148	0.0001126513376917512
PRKACB	9606.ENSP00000359719	0.0004693145693652039
VCP	9606.ENSP00000351777	0.00040793493853278744
PRKAA2	9606.ENSP00000360290	0.0001145211017837867
SPINK1	9606.ENSP00000296695	2.1788393549827172e-05
AMFR	9606.ENSP00000290649	8.38026753901117e-05
RHOQ	9606.ENSP00000238738	3.895154997014985e-05
SLC26A6	9606.ENSP00000378920	9.43187311126074e-06
PDZK1	9606.ENSP00000342143	2.832681941062378e-05
NEDD4L	9606.ENSP00000383199	7.885872446297112e-05
USP10	9606.ENSP00000457411	3.793405872736494e-05
GORASP2	9606.ENSP00000234160	1.4322834790983162e-05
DNAJA1	9606.ENSP00000369127	7.73082755084577e-05
EZR	9606.ENSP00000338934	0.00012475396003498496
KRT18	9606.ENSP00000373489	2.7899457189576143e-05
YWHAZ	9606.ENSP00000379287	0.00020982949224879888
RFLNB	9606.ENSP00000331915	1.2010061800371744e-06
ACTB	9606.ENSP00000494750	0.002462689801176167
HDAC6	9606.ENSP00000365804	0.0002330298181681782
SLC9A3R1	9606.ENSP00000262613	6.13808011984103e-05
SLC9A3	9606.ENSP00000264938	2.0851341690798032e-05
STUB1	9606.ENSP00000219548	0.0002225353989710398
CYP51A1	9606.ENSP00000003100	5.32920722566713e-05
NSDHL	9606.ENSP00000359297	2.8939697558509675e-05
INSIG1	9606.ENSP00000344741	3.5168486317700485e-05
EBP	9606.ENSP00000417052	1.5417146729493476e-05
DHCR24	9606.ENSP00000360316	4.197154191508129e-05
CYB5R3	9606.ENSP00000354468	2.746457876498156e-05
SIGMAR1	9606.ENSP00000277010	3.7081724141957565e-05
MVK	9606.ENSP00000228510	4.477516934635633e-05
HSD3B1	9606.ENSP00000358421	0.00011490382670328896
HMGCS1	9606.ENSP00000322706	7.439422683208807e-05
POR	9606.ENSP00000419970	0.00023596458138620024
FDPS	9606.ENSP00000349078	3.899265238518342e-05
ERG28	9606.ENSP00000256319	2.1134370864385756e-05
EGR2	9606.ENSP00000242480	0.00024570101542368026
HSD3B7	9606.ENSP00000297679	1.9953203627443e-05
SC5D	9606.ENSP00000264027	3.3324323858789383e-05
FDFT1	9606.ENSP00000491537	7.258875050873211e-05
HSD17B7	9606.ENSP00000254521	5.918889670505757e-05
HSD3B2	9606.ENSP00000445122	0.00010096953504281519
SREBF1	9606.ENSP00000348069	0.0002026701492461459
PGRMC1	9606.ENSP00000217971	2.541919801452859e-05
MVD	9606.ENSP00000301012	3.899513565607924e-05
SREBF2	9606.ENSP00000354476	0.0001117470876454006
SDR42E1	9606.ENSP00000332407	8.944011335314226e-06
DHCR7	9606.ENSP00000347717	4.910545016373804e-05
LBR	9606.ENSP00000339883	4.100305608322499e-05
LSS	9606.ENSP00000380837	4.797494672648369e-05
HMGCS2	9606.ENSP00000358414	6.314026232328523e-05
CYB5A	9606.ENSP00000341625	5.221931054540314e-05
CH25H	9606.ENSP00000360918	3.016484027190909e-05
IDI2	9606.ENSP00000277517	3.6489557979828367e-05
FAXDC2	9606.ENSP00000320604	1.5383570549798712e-05
IDI1	9606.ENSP00000370748	6.0610778531873596e-05
PPIG	9606.ENSP00000260970	0.000202820064608279
SQLE	9606.ENSP00000265896	5.541619913008011e-05
ACAT2	9606.ENSP00000356015	7.42726870771906e-05
HMGCR	9606.ENSP00000287936	0.00010158181417641417
CYB5B	9606.ENSP00000308430	4.965164235154172e-05
TM7SF2	9606.ENSP00000279263	1.9861547744094698e-05
MSMO1	9606.ENSP00000261507	3.714949805716144e-05
USP28	9606.ENSP00000003302	3.999685082034109e-05
OTUB1	9606.ENSP00000444357	0.00017525500505775004
USP15	9606.ENSP00000280377	8.989515727240742e-05
RPS27A	9606.ENSP00000272317	0.002304532787841479
KDM1A	9606.ENSP00000383042	0.0002195106617608494
USP20	9606.ENSP00000313811	1.5536100498252415e-05
TP53BP1	9606.ENSP00000371475	0.00020432663711012638
USP5	9606.ENSP00000229268	4.361848406665592e-05
UBC	9606.ENSP00000441543	0.0006531552681276327
USP2	9606.ENSP00000260187	3.096309559944914e-05
USP13	9606.ENSP00000263966	4.690226536466693e-05
USP4	9606.ENSP00000265560	2.915287526188877e-05
UBA52	9606.ENSP00000388107	0.0005629110419323207
UBB	9606.ENSP00000478771	0.00046720141647839494
USP14	9606.ENSP00000261601	0.0001070687316290523
MYC	9606.ENSP00000478887	0.0025805295710453332
CHEK2	9606.ENSP00000372023	0.00017602136932049205
CLSPN	9606.ENSP00000312995	0.00010102489319441993
USP8	9606.ENSP00000379721	4.5545134162939844e-05
FBXW7	9606.ENSP00000474725	0.00020849899107499472
TP53	9606.ENSP00000269305	0.0036539244789448293
SLC7A2	9606.ENSP00000004531	4.598841067059237e-06
ARG2	9606.ENSP00000261783	9.079485399297513e-05
ARG1	9606.ENSP00000349446	0.0001254207236557266
HSPB6	9606.ENSP00000004982	2.1914984414725883e-05
HSPB8	9606.ENSP00000281938	5.624359125527739e-05
TSG101	9606.ENSP00000251968	0.00011689193637300777
SHQ1	9606.ENSP00000315182	8.270208584406803e-06
SFN	9606.ENSP00000340989	0.00016862398978129673
BAG3	9606.ENSP00000358081	0.000102944710046502
HSPD1	9606.ENSP00000340019	0.0001333481537770605
PDK4	9606.ENSP00000005178	5.267121765223918e-05
ANGPTL4	9606.ENSP00000301455	4.2679929345150866e-05
DLAT	9606.ENSP00000280346	0.00024345316769760876
PDK2	9606.ENSP00000420927	3.2469601043159515e-05
PPARGC1A	9606.ENSP00000264867	0.0022793066230791833
CPT1B	9606.ENSP00000379011	4.795483202723396e-05
VDAC1	9606.ENSP00000378487	0.0003161188517823976
PPARD	9606.ENSP00000310928	8.227102721412265e-05
UCP3	9606.ENSP00000323740	3.65098350248539e-05
ITPR1	9606.ENSP00000306253	0.00018498005258639602
PDHA1	9606.ENSP00000369134	8.824767585120951e-05
HSPA9	9606.ENSP00000297185	0.0002563944035606527
CYCS	9606.ENSP00000307786	0.0007152747385235094
PDHX	9606.ENSP00000227868	0.00019242994443375102
INS	9606.ENSP00000380432	0.0007897404195276569
PDP2	9606.ENSP00000309548	2.4006988332626802e-05
PDK3	9606.ENSP00000498864	3.107345661729379e-05
SLC2A4	9606.ENSP00000320935	0.00010737398423306737
ITPR3	9606.ENSP00000363435	0.00015244230680926498
PPARA	9606.ENSP00000385523	0.00028329797035217514
USH1C	9606.ENSP00000005226	2.702744748390272e-05
MYO15A	9606.ENSP00000495481	3.5724921659646916e-05
OTOG	9606.ENSP00000382323	8.331141874883615e-06
ADGRV1	9606.ENSP00000384582	1.4971799920131821e-05
GJB2	9606.ENSP00000372295	4.307553975708269e-05
MYO7A	9606.ENSP00000386331	7.527829845124068e-05
USH2A	9606.ENSP00000305941	2.2907035367733376e-05
MYO7B	9606.ENSP00000415090	4.741676663879721e-06
CDHR2	9606.ENSP00000424565	4.763057718158917e-06
VEZT	9606.ENSP00000410083	2.5987671104748505e-05
TMC1	9606.ENSP00000494684	2.448480415423963e-05
PCDH15	9606.ENSP00000363068	2.1821513917283288e-05
SERGEF	9606.ENSP00000265965	2.6104693942019403e-06
WHRN	9606.ENSP00000354623	3.288761849665646e-05
USHBP1	9606.ENSP00000252597	5.175967673754993e-06
GRXCR1	9606.ENSP00000382670	3.9457260750490744e-05
ESPN	9606.ENSP00000496593	3.7025833822482637e-05
CIB2	9606.ENSP00000258930	1.5065509959919875e-05
CLRN1	9606.ENSP00000329158	1.0427266997985389e-05
LHFPL5	9606.ENSP00000498322	1.993630337842752e-05
PDZD7	9606.ENSP00000480489	1.1791910894495399e-05
SLC4A7	9606.ENSP00000390394	1.1217682856605006e-05
CDH23	9606.ENSP00000224721	3.265668714608313e-05
CDHR5	9606.ENSP00000380676	7.5142006621007114e-06
TMC2	9606.ENSP00000351732	1.2123770351870597e-05
USH1G	9606.ENSP00000480279	1.2358263488796609e-05
ANKS4B	9606.ENSP00000308772	3.8273151660138e-06
ABCC8	9606.ENSP00000494321	3.516884477266301e-05
RALA	9606.ENSP00000005257	8.23794479429128e-05
RALGAPB	9606.ENSP00000262879	1.1162240195801975e-05
FLNB	9606.ENSP00000420213	5.239163403151349e-05
MAPK9	9606.ENSP00000394560	0.0004447576041664927
EXOC5	9606.ENSP00000484855	3.491236795066577e-05
RHOA	9606.ENSP00000400175	0.0004310936113150164
PLD1	9606.ENSP00000342793	6.623614747611969e-05
RGL3	9606.ENSP00000377075	1.0220169312664624e-05
EXOC8	9606.ENSP00000355605	3.133191728259854e-05
RASA1	9606.ENSP00000274376	0.00012881537915807045
RALBP1	9606.ENSP00000372924	3.1121109161956305e-05
CNKSR2	9606.ENSP00000368824	1.0002880302235381e-05
RGL4	9606.ENSP00000290691	2.98640254903733e-06
RABIF	9606.ENSP00000356231	0.00016367288691249667
SYNJ2BP	9606.ENSP00000256366	6.773431485124411e-06
ARF6	9606.ENSP00000298316	0.00010329409889621917
RALGAPA2	9606.ENSP00000202677	1.11230934930548e-05
EXOC6B	9606.ENSP00000489442	1.2956171534632604e-05
STAT4	9606.ENSP00000351255	0.00021601686854269057
EXOC3	9606.ENSP00000425587	2.636366769850807e-05
MAPK8	9606.ENSP00000378974	0.0022899895810077242
PPP2R1B	9606.ENSP00000311344	0.00010569049535993131
CALM3	9606.ENSP00000291295	0.0003822952585468674
RAC2	9606.ENSP00000249071	0.00021469497343092595
RALB	9606.ENSP00000272519	3.775218520447372e-05
KRAS	9606.ENSP00000256078	0.0004397505932413984
REPS2	9606.ENSP00000349824	1.2333508639032025e-05
RAC3	9606.ENSP00000304283	0.00015035706102901506
CALML5	9606.ENSP00000369689	0.0003346978571283931
RGL2	9606.ENSP00000420211	2.2494514176204985e-05
CALML3	9606.ENSP00000315299	0.0003300726979760751
CALML6	9606.ENSP00000304643	0.0003165320190525628
RAB8A	9606.ENSP00000300935	0.00012307309104176524
HRAS	9606.ENSP00000407586	0.00032902674606098714
EXOC1	9606.ENSP00000370695	2.6518387025323684e-05
EXOC4	9606.ENSP00000253861	3.5686169548683385e-05
RALGPS2	9606.ENSP00000356607	7.597958321058407e-06
LRPAP1	9606.ENSP00000497444	3.691607076449696e-05
CALML4	9606.ENSP00000419081	0.00032134884619456857
PLCD1	9606.ENSP00000430344	8.208054436897415e-05
CALM1	9606.ENSP00000499717	0.00012728009848799498
RAF1	9606.ENSP00000401888	0.000205069261668759
YBX3	9606.ENSP00000228251	1.3405228577723687e-05
FLNC	9606.ENSP00000327145	8.349289992116805e-05
SRC	9606.ENSP00000362680	0.0007504262740069096
EXOC6	9606.ENSP00000260762	3.536432362334581e-05
EXOC7	9606.ENSP00000334100	3.980752140333526e-05
RALGDS	9606.ENSP00000361120	5.703291454957478e-05
EXOC2	9606.ENSP00000230449	3.058385860641626e-05
PLD2	9606.ENSP00000263088	8.39870268394667e-05
RGL1	9606.ENSP00000303192	1.3199929185047696e-05
