gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	2.371410608764545e-05
ACAP1	9606.ENSP00000158762	3.844678486164974e-06
COPA	9606.ENSP00000357048	2.4127250219920072e-05
RAB11FIP3	9606.ENSP00000262305	1.8482135955277598e-05
COPB2	9606.ENSP00000329419	2.867689840795462e-05
COPE	9606.ENSP00000469035	1.7553313992416824e-05
ARF3	9606.ENSP00000256682	3.747053358523786e-05
ARFGAP1	9606.ENSP00000314615	1.3777310596004056e-05
RAB11FIP1	9606.ENSP00000331342	9.912256237751286e-06
CYTH1	9606.ENSP00000389095	2.1245608260635396e-05
IQSEC1	9606.ENSP00000480301	1.2663772294971027e-05
RAB11A	9606.ENSP00000261890	8.40379078382031e-05
ARFGAP2	9606.ENSP00000434442	1.0118518964518225e-05
COPB1	9606.ENSP00000249923	3.379241531371761e-05
ARF4	9606.ENSP00000306010	2.3275135203380704e-05
ASAP1	9606.ENSP00000429900	4.784694501149862e-05
RAB11FIP4	9606.ENSP00000482620	9.642469173179772e-06
GORAB	9606.ENSP00000356737	6.128325497642993e-06
ACAP2	9606.ENSP00000324287	3.844678486164974e-06
ARFGAP3	9606.ENSP00000263245	8.854563278130206e-06
ARFIP1	9606.ENSP00000296557	8.673653673200642e-06
ARF1	9606.ENSP00000440005	9.646933510541237e-05
CDKN2A	9606.ENSP00000418915	0.00026942041418835715
GBF1	9606.ENSP00000359000	1.3015837113498383e-05
ARFIP2	9606.ENSP00000484121	9.031451686594711e-06
AGAP1	9606.ENSP00000307634	2.979731012634516e-06
ASAP2	9606.ENSP00000281419	1.1730163028228349e-05
COPZ1	9606.ENSP00000449270	1.5569111365005965e-05
M6PR	9606.ENSP00000000412	9.11055200053894e-06
GGA3	9606.ENSP00000438085	3.508894671689862e-05
VTI1A	9606.ENSP00000376792	5.073111768737286e-05
TGOLN2	9606.ENSP00000386443	6.076268517163209e-05
GGA2	9606.ENSP00000311962	2.1807480398407333e-05
GGA1	9606.ENSP00000371175	3.236931362456689e-05
IGF2R	9606.ENSP00000349437	0.00012254829331724554
PLIN3	9606.ENSP00000221957	1.48083833011381e-05
FKBP4	9606.ENSP00000001008	4.857497894645756e-05
STIP1	9606.ENSP00000351646	6.480718292980522e-05
NR3C2	9606.ENSP00000350815	6.169467399907e-05
FKBP5	9606.ENSP00000444810	9.004668399567252e-05
SERPINB2	9606.ENSP00000401645	7.021868368893343e-05
HSPA8	9606.ENSP00000437125	0.0002450806621803963
GLMN	9606.ENSP00000359385	7.172336322725116e-05
HSF1	9606.ENSP00000431512	5.4686534041365225e-05
HSPA2	9606.ENSP00000378199	8.992484355674955e-05
MTOR	9606.ENSP00000354558	0.00033666358854136865
AKT1	9606.ENSP00000451828	0.0019089369455038748
PTGES3	9606.ENSP00000482075	7.77889884008132e-05
DNAJB1	9606.ENSP00000254322	7.728478333858821e-05
PPID	9606.ENSP00000303754	3.976695400348173e-05
HSP90AB1	9606.ENSP00000360609	0.0005249398946960738
HSPA4	9606.ENSP00000302961	0.00039008174049349
CDC37L1	9606.ENSP00000371278	1.2923421136241822e-05
CDC37	9606.ENSP00000222005	8.142139070507977e-05
NR3C1	9606.ENSP00000231509	0.00019869311825835493
HSP90AA1	9606.ENSP00000335153	0.0006772347302118504
PHYH	9606.ENSP00000263038	1.143399369335595e-05
PGR	9606.ENSP00000325120	0.0001592368094051858
S100A1	9606.ENSP00000292169	4.4589093266207355e-05
