gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.0004936276729404644
ACAP1	9606.ENSP00000158762	3.0543153531393154e-05
COPA	9606.ENSP00000357048	7.834864639677592e-05
RAB11FIP3	9606.ENSP00000262305	6.228834924005275e-05
COPB2	9606.ENSP00000329419	0.0001017047566363653
COPE	9606.ENSP00000469035	7.84675346441353e-05
ARF3	9606.ENSP00000256682	0.0005021026386451794
ARFGAP1	9606.ENSP00000314615	8.285579138795305e-05
RAB11FIP1	9606.ENSP00000331342	3.280308901973512e-05
CYTH1	9606.ENSP00000389095	0.00044872408505505117
IQSEC1	9606.ENSP00000480301	3.789703678038761e-05
RAB11A	9606.ENSP00000261890	0.00014741821346562597
ARFGAP2	9606.ENSP00000434442	6.687007104249333e-05
COPB1	9606.ENSP00000249923	0.0001202729282166215
ARF4	9606.ENSP00000306010	0.0004083852093431121
ASAP1	9606.ENSP00000429900	8.850951238336873e-05
RAB11FIP4	9606.ENSP00000482620	3.717845081508203e-05
GORAB	9606.ENSP00000356737	2.378370850898881e-05
ACAP2	9606.ENSP00000324287	3.0543153531393154e-05
ARFGAP3	9606.ENSP00000263245	6.256735271324945e-05
ARFIP1	9606.ENSP00000296557	8.599174216197484e-05
ARF1	9606.ENSP00000440005	0.0007151907162002334
CDKN2A	9606.ENSP00000418915	0.05434737411939278
GBF1	9606.ENSP00000359000	8.18582277304777e-05
ARFIP2	9606.ENSP00000484121	0.0003762031228372196
AGAP1	9606.ENSP00000307634	2.8990333762228706e-05
ASAP2	9606.ENSP00000281419	3.36868706487739e-05
COPZ1	9606.ENSP00000449270	8.698628985756771e-05
M6PR	9606.ENSP00000000412	3.899333274092315e-05
GGA3	9606.ENSP00000438085	0.00039863240210056796
VTI1A	9606.ENSP00000376792	6.655841833527516e-05
TGOLN2	9606.ENSP00000386443	6.839946473875962e-05
GGA2	9606.ENSP00000311962	5.371760815506234e-05
GGA1	9606.ENSP00000371175	0.000405425839186883
IGF2R	9606.ENSP00000349437	0.00014791185149355023
PLIN3	9606.ENSP00000221957	2.067657442939269e-05
FKBP4	9606.ENSP00000001008	5.819431813312981e-05
STIP1	9606.ENSP00000351646	9.506041715682201e-05
NR3C2	9606.ENSP00000350815	3.642067491730989e-05
FKBP5	9606.ENSP00000444810	0.00011307246485023178
SERPINB2	9606.ENSP00000401645	2.018427239855414e-05
HSPA8	9606.ENSP00000437125	0.0003149476490785067
GLMN	9606.ENSP00000359385	0.00020261887119943782
HSF1	9606.ENSP00000431512	8.795481816154315e-05
HSPA2	9606.ENSP00000378199	8.317123169684272e-05
MTOR	9606.ENSP00000354558	0.0004030247330449932
AKT1	9606.ENSP00000451828	0.001893695485263869
PTGES3	9606.ENSP00000482075	0.00011673141690254393
DNAJB1	9606.ENSP00000254322	0.00010306383402117947
PPID	9606.ENSP00000303754	5.7145294226682585e-05
HSP90AB1	9606.ENSP00000360609	0.001093816995955375
HSPA4	9606.ENSP00000302961	0.00042537245064552077
CDC37L1	9606.ENSP00000371278	1.5052610338720655e-05
