	GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
A2M	12.3081438778514	13.4480277195176	14.3706276412535	12.7962691079454	12.3716113318329	13.9975303108673	13.9817112022629	13.6516887435996	12.8731249527916	12.0382781124487	12.9191774917829	14.2608595259654	13.3972299105404	12.63988979916	14.7498517949845	12.9218456389229	12.4344104178413	12.8568409281286	12.3040133707336	13.7794809147702	11.2264663758329	9.07050993680744	11.7790362493303	12.5839737045638	12.0581225215553	15.3076660478263	13.7914455091075	11.2409766148149	13.1578653841353	11.5501883779038	10.7701276354798	12.2224437197226	11.4542995790888	12.2188254500405	13.6182739605565
ABCB1	7.09753652176905	6.76504480837687	9.21320867785308	6.78049432755158	6.43123278581251	6.92825871542124	8.92904064274877	8.47043314425205	6.80202927452242	6.99302701126578	6.57313478257825	8.19490866016418	5.95696151424383	6.5809069489784	8.43424635635268	6.27441396039122	7.30426365199515	11.221006962448	7.89351607629667	8.20783006286472	6.80742785501552	6.98886625802975	5.78186103264533	5.58689095158939	7.82176017468781	8.59865047063372	7.12332983776152	5.62682513380547	8.29524186772433	6.88817518430477	6.23966408366001	6.3409251239632	6.2315207643556	6.90495511497436	6.2279090894374
ABL1	9.26376338106355	9.463195874953	9.62277854642936	8.77034505668587	9.23501751380424	8.84770308400808	9.25939026060447	9.66685234896405	9.40468885624411	9.489297102191	9.51680151512657	9.4883466891108	10.2506494552868	9.27922041668366	9.71363338001084	9.7075701814468	8.50538970289889	9.05518284107094	8.85775158229129	9.90806499899004	8.87617481715608	9.33308472001828	10.2613983635335	9.832894269787	9.31680505068961	9.49471499572143	10.1156948208166	10.1356916350707	9.27161201335984	8.64671463401594	8.96257122112329	9.99693054243859	9.48674189266877	9.07683475865374	9.03309299689589
ADA	7.56045584808901	6.16004736790044	7.52318380535924	7.47573821098971	9.24893304927068	6.83288261088161	7.3501481047626	8.05678814021619	6.66585364752617	7.63038933460336	6.96627555888356	7.33233543215087	7.46766459830891	7.57314328601322	6.31556285797868	7.6318620299851	7.42747973853241	6.42265963337128	6.8138510025955	8.12673269216485	7.86608773484379	8.204573879926	7.66885598377142	7.87215738554877	8.90529215114895	7.32783311155197	7.95297485301988	10.0682092370363	7.89265279390814	7.23266146100362	8.49047228946549	8.29975140337688	7.68557427066465	7.98641369085871	7.66278703653704
ADORA2A	6.44556941703312	6.65403544046499	5.64594526239116	6.55102731369561	6.12812178104785	6.58225543550451	6.75617582216329	7.01829717684364	6.56736046466645	7.2778080247998	6.16327772842884	7.06873141495717	6.43859010128828	6.74911029892286	7.0219769045134	6.04332434872598	5.73793910650455	6.93742745067491	6.13005931212612	6.33257675638879	6.87242783399427	6.82039943670771	6.63472868047585	5.72420994162017	6.54767314921172	6.07396465725906	5.50521460587208	5.62682513380547	6.38610427278615	7.60953463423597	6.4630893624111	6.04351623137816	7.67107457395982	5.94517654718793	6.44376535114075
AICDA	4.69625981417711	4.47066082164486	4.29168337909317	5.06001131577694	4.01903134498503	4.44652011993365	4.02884453547438	5.62219430457544	3.85087314582455	4.57116123373552	4.6644609024914	5.17049081021621	4.39831033275616	4.53137590968782	4.82184168210276	4.23646948396775	4.72941112673903	4.21868798785903	4.9427486509491	4.9478752496771	7.66673512209511	5.94693317070755	4.34413638934925	3.75559959966322	4.5944461477966	4.37309139174353	4.83013444510838	4.53632132021474	4.67270963737973	5.4084385171471	4.16222356959767	4.73868472174237	4.2115159400058	4.71183426062605	4.10069872139559
AIRE	3.78791463047851	4.86888536084129	4.7121980674333	5.02273772117315	3.52859418993956	4.60887086266959	3.35118883061743	6.02968774763345	4.40117505673305	5.08235878910724	3.58691197396085	5.17049081021621	4.826899762387	4.4812808360599	4.76735325329091	4.1355912958851	3.55634714537609	4.27935238444398	4.66939647004583	4.10343202873014	6.77379561869337	5.71028776029782	4.27397228404352	4.03443231819581	4.51984871963749	3.63570818433945	4.61640183352678	4.53632132021474	3.93603283461298	6.20075643378521	4.27131753543859	5.38539638685985	4.43392832163259	4.47715958351256	3.55830514786708
AKT3	9.96812946217374	9.27905767458922	9.77459359462985	9.50031343668297	10.0101997056973	9.35069211053954	9.82420270248189	10.1979031992628	9.05086708272417	9.06817077444124	10.2102629158192	10.3733874512632	9.99109349344279	9.8791905529423	9.1659905967432	9.43519548472738	9.09608525524568	11.7688835971076	9.24615850663982	10.2680081918847	8.96826125395703	9.86048015272836	11.5200384962986	8.63821598865875	10.1889638574329	9.7779928664591	10.3357116356986	10.1485612130188	10.2403175815222	9.30224542817493	8.42113489001036	10.5927393374831	10.2920270080298	10.5092334182517	9.16054596708987
ALCAM	9.82669791849657	10.4393112006784	10.1859282108717	9.49181404869731	9.44300393540637	10.0734809300175	11.1911760842921	7.18695099001631	10.5574498860381	11.0575704254218	9.85064184228565	9.19237693400593	10.8189137011221	10.8982257479732	11.3481898707584	9.96075727033371	10.4050078380955	8.9863415684095	9.6098671992206	9.34149067729918	12.6926461147195	8.98008609062018	12.167705329266	12.1196903643101	10.1415500092072	10.5029916582676	9.5108920242682	12.3674522591928	12.8426035405813	9.45559154458355	11.5190197703055	11.4049145342726	9.31785100398407	10.7582706809619	11.6138405000209
AMBP	3.28913029187499	4.47066082164486	10.3340228140489	4.47886513482644	5.57743942066252	4.05396968753843	5.11594004146738	6.92594994812742	4.61350955576889	6.16564081583362	3.9218025723771	4.57914312121686	4.77979014518541	4.26145216046499	12.2892895895766	4.1355912958851	13.5817198417892	4.08912466958248	4.54368961309183	4.3867304762335	7.74403200388774	9.42409187799483	3.86051035915114	4.19427016295031	3.72264338576984	6.5110788159865	4.16997631118563	7.09921352584052	4.19894691772229	7.34418957064138	4.86568349977439	4.73868472174237	4.2115159400058	3.68145230452102	3.18461643064163
