pathway	GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
REACTOME_INTERLEUKIN_6_SIGNALING	0.252529208408349	0.270550479308598	0.296981028228535	0.255145768350425	0.281726473357261	0.332566564916508	0.297124153952042	0.288916165842101	0.275570207119861	0.281693921673682	0.258727739830415	0.282110154062656	0.257874913070771	0.274902865862013	0.267687347800099	0.274563830570226	0.252749192763985	0.271809939710718	0.275105532277221	0.30776638253134	0.272798495940481	0.262733677365806	0.304331663143931	0.258914368253012	0.29602979342078	0.284010082256461	0.320879202783344	0.217888765964465	0.274530915622614	0.292271150616633	0.264610076970012	0.250713499492393	0.266242383604752	0.249650277116235	0.280968831758603
REACTOME_HEMOSTASIS	0.185863764786382	0.180150120792082	0.173242711527201	0.192258407749518	0.16060187483388	0.174214818368819	0.15684670983967	0.171798793937344	0.181480923179398	0.163516726253389	0.181106550418833	0.196022472622623	0.193762528582714	0.164205944225553	0.174888555670224	0.199217921377411	0.152580050779294	0.164660141616273	0.186193879236912	0.197925840309933	0.157107641563521	0.128501644046696	0.180783968894968	0.18240642585079	0.156496175897202	0.182110977931901	0.176161896351435	0.155059044294321	0.170886469139085	0.162442778243419	0.177946776085308	0.16431273127991	0.166758938977323	0.174047935684477	0.174287849476664
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.218271585019545	0.205381212149093	0.221668651929824	0.188405601969384	0.206838954383036	0.17920875160379	0.25149815288505	0.221728011846887	0.18529280070011	0.245532106753102	0.197856425963436	0.255844845117313	0.242354509998561	0.221013814621979	0.216571766755896	0.216791150445861	0.184536398337107	0.27875251265065	0.197585931242812	0.193919471976294	0.228802701387011	0.247806647555301	0.272280385264816	0.266632644204365	0.201686798696668	0.214603074017403	0.250758469488657	0.315251330116119	0.254297936507223	0.199994216528825	0.267423580304603	0.263357502605097	0.266678639902555	0.236252223086697	0.201250387362387
REACTOME_MAPK3_ERK1_ACTIVATION	0.222086019927602	0.216654094486768	0.274996418583782	0.173949932027477	0.208937492525779	0.237711811442762	0.208967400145892	0.247473328883415	0.202743338981603	0.246542818531448	0.19122306643602	0.225134842422853	0.237135586977504	0.228192725913118	0.219717391464368	0.224935123260307	0.20765646696687	0.256012453771438	0.235002747463221	0.240033527824156	0.229320034600965	0.214325578200996	0.270919018620092	0.254774721178994	0.231394496956505	0.214568636359551	0.278325651803319	0.215682525062439	0.214134625838446	0.205257181897297	0.262657171398262	0.247714069119585	0.256456341802554	0.196705539600898	0.237625648973737
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.358533159447858	0.46620445097222	0.333314804083833	0.39409721678367	0.373864737727257	0.332895177191448	0.290155650205726	0.272428480218011	0.385632267458257	0.322661339903484	0.301646840371098	0.37543751808767	0.423807514823407	0.30851241596707	0.264149749077061	0.4108895039003	0.430021186409892	0.425093687173571	0.311239678947465	0.295928577212348	0.3977048738694	0.476976512243568	0.273195390035089	0.390500456154838	0.406164199168616	0.302015471715785	0.44798362995511	0.35401538018745	0.296122105365504	0.450484875051094	0.35401538018745	0.393520587092573	0.318775011801123	0.409199164049888	0.363194763284359
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.50257395104334	0.50257395104334	0.50257395104334	0.503860952198381	0.503860952198381	0.503860952198381	0.50257395104334	0.499999948733259	0.50257395104334	0.50257395104334	0.501286949888299	0.501286949888299	0.50257395104334	0.503860952198381	0.501286949888299	0.501286949888299	0.503860952198381	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.50257395104334	0.503860952198381	0.503860952198381	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.50257395104334
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.50257395104334	0.50257395104334	0.50257395104334	0.503860952198381	0.503860952198381	0.503860952198381	0.50257395104334	0.499999948733259	0.50257395104334	0.50257395104334	0.501286949888299	0.501286949888299	0.50257395104334	0.503860952198381	0.501286949888299	0.501286949888299	0.503860952198381	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.50257395104334	0.503860952198381	0.503860952198381	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.503860952198381	0.50257395104334	0.503860952198381	0.50257395104334
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA_	0.0334488660525565	0.016497707877157	0.0132276286877869	0.040665268113628	0.005781435577565	0.0206328484516726	0.103587655337432	0.143420157231571	-0.0509267938019542	0.10942881493025	0.0456434368192829	0.0689477310200617	0.0395536730301744	0.04680753106288	0.0224900427589326	0.0203750640445131	-0.0319461044382304	0.126573338403181	0.0162939252657092	0.0724512442076406	-0.0025649627962888	-0.0149385141466784	0.182491603469382	-0.0294046011538148	0.136623472445186	0.0710549742393019	0.133596181197894	0.141307503120792	0.129184079784215	0.0538465821475037	0.087620711940279	0.177353680662617	0.154794961982701	0.0655462373732137	-0.0432627544634535
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.308236776632215	0.330115796267904	0.192406672678564	0.227155703864659	0.0173745155930476	0.0019305017325608	0.240025715415065	0.192406672678564	0.121621609151333	0.0418275375388183	0.243886718880187	0.339124804353188	0.36615182860904	0.232303708484822	0.322393789337661	0.376447837849365	0.301801770857012	0.292792762771728	0.175675657663037	0.232303708484822	0.372586834384243	0.036679532918656	0.385456845934649	0.393178852864892	0.0392535352287372	0.261904735050755	0.368725830919121	0.391891851709852	0.331402797422945	0.220720698089457	0.36615182860904	0.166666649577753	0.218146695779375	0.371299833229203	0.259330732740673
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.175545597831963	0.20986305560028	0.184667526389156	0.191175299487869	0.138184262038391	0.214471254874589	0.2453666935205	0.232235820929004	0.166439680053889	0.279545900674644	0.161710352802109	0.196466229438539	0.19963715923406	0.212889240375988	0.205402491537951	0.183498821892319	0.166007856551312	0.211713097021154	0.193741202417102	0.175533909391127	0.194700423188743	0.161397966339331	0.229059409596679	0.186938294791916	0.216766782404262	0.209534189684191	0.226988541545893	0.266157578135627	0.230772906359829	0.189922505122054	0.265076975459167	0.254527298230697	0.27153988744321	0.189599760943348	0.162889637408537
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.304375773167093	0.222007699244497	0.305662774322134	0.317245784717499	0.278635750066282	0.268339740825957	0.299227768546931	0.241312716570106	0.292792762771728	0.381595842469527	0.292792762771728	0.286357756996525	0.344272808973351	0.339124804353188	0.328828795112864	0.358429821678797	0.283783754686444	0.323680790492702	0.321106788182621	0.304375773167093	0.277348748911241	0.340411805508229	0.38803084824473	0.391891851709852	0.238738714260024	0.265765738515876	0.34298580781831	0.38803084824473	0.372586834384243	0.314671782407418	0.380308841314486	0.404761863260257	0.367438829764081	0.324967791647742	0.285070755841485
