GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
A2M	5307.23251073065	10806.6907182891	20369.5212506232	7248.04459200826	5474.47595827859	15470.4711959107	16046.311316386	11989.3177308894	7284.09412713687	4097.59596032851	7679.81186005909	19769.9329592523	9872.25150426386	6493.3370806026	27956.2498860501	7566.86004783777	5081.0356352235	7633.29693267237	4922.19123673908	12658.6674021507	2456.1687786633	526.030766671659	3224.24562901526	5976.30579630492	3752.5297718904	40048.5021415189	12706.8777238153	2203.52636945294	8781.81176513367	3083.78410662991	1837.0064920495	4756.95856100295	2696.21416513379	4369.53147843192	12428.3759727467
ABCB1	142.277500619455	104.191377442507	569.785732104416	110.988121518968	88.1033388347303	114.232141422762	482.481751003285	329.500299912014	107.358243052933	123.12487861564	93.3999618128195	294.082496034943	55.9074339266063	96.3641416859153	349.958382638706	74.4891883298222	144.16907222533	2455.55821982475	230.501605584379	265.261200204219	113.809544700993	123.502875653346	49.549329095734	45.791866148388	198.234725242639	381.794492122541	124.038036534158	44.0705273890589	300.894666506254	120.793386665227	78.453943657231	79.683566287344	71.2394201429845	108.93169114136	73.0690196152932
ABL1	642.361784974964	681.625833736024	757.164932595129	443.952486075874	621.550952053234	434.819118964063	606.895284280861	756.352961161668	657.16257868765	699.349310536837	725.406370079565	722.331660767856	1113.97648197044	631.185128042745	850.962632556125	814.41512573939	332.697858981531	546.411078406043	450.666816299504	864.057580412056	480.823270248382	631.236920005991	1125.47761803167	886.8669586698	560.414925956219	711.386520174708	993.474462429243	1023.72162580835	592.968316730566	411.230426661765	524.013133106788	1016.34133604235	688.647728048851	494.160320740609	516.797247824528
ADA	196.511993429841	68.1625833736024	175.907004542303	180.355697468324	627.585427315887	106.8623258471	160.827250334428	247.12522493401	97.5984027753936	192.074810640399	122.976616386879	161.271046212711	161.04678728112	192.728283371831	79.7777468021367	192.430403185374	157.107322296834	87.2282745648201	108.532146127174	250.711007787954	238.206023792777	288.173376524474	185.809984109003	227.090274980781	421.114848758688	157.630969937993	221.162159480715	976.896690457471	227.386197490068	153.656293331502	377.467087407432	312.720411089954	196.897841784082	231.570018916402	199.279144405345
ADORA2A	90.1560399964861	96.4013679140948	47.1634722323565	94.5133222309966	71.2068080993026	89.6660895038887	106.206674749151	119.818290877096	91.0918425903673	150.212351911081	70.0499713596147	134.166668697969	78.4372953597163	108.409659396655	130.835504755504	63.3158100803489	48.0563574084434	125.08205409295	67.1865666501555	71.631716510844	119.103011896388	109.780333914085	90.250563710087	50.4645055512847	81.436968207787	65.5089745196854	39.785785303409	44.0705273890589	79.3891465374807	199.841999997618	91.7763114480816	64.6489311387885	194.918969002333	55.5479484628129	85.0257682796139
AICDA	26.0607303114843	20.4487750120807	17.8456381419727	32.9495985759438	15.6896356828972	19.6528415350989	15.1723821070215	44.931859078911	13.0131203700525	22.1624781508153	24.1283234683117	35.2356907691637	18.357664871423	22.4849663933802	27.656285558074	17.3808106102919	23.4120715579596	18.1039815134532	28.9419056339131	26.8618936915665	207.327465152972	59.4643475367962	17.6961889627622	12.1488624475315	20.3592420519468	19.4479768105316	24.573573275635	20.1989917199853	23.5227100851795	42.6329599994918	17.7631570544674	25.5588797525443	16.8204186448713	23.0848616988314	15.9423315524276
AIRE	13.3825371869784	27.265033349441	24.2190803355344	32.0825038765768	10.862055472775	22.1094467269862	9.10342926421292	59.9091454385479	19.5196805550787	32.0124684400665	10.8966622114956	35.2356907691637	25.0331793701222	21.6819318793309	26.5925822673789	16.1393241381281	9.85771434019352	18.9268897640647	23.7737081992858	14.5501924162652	111.162811103296	50.3159863772891	16.811379514624	14.9524460892695	19.2877029965811	11.2593549955709	21.0630628076871	20.1989917199853	13.7215808830214	74.6076799991107	19.2434201423397	40.5935149010998	19.7887278174957	19.477852058389	10.6282210349517
AKT3	1047.35962089668	599.830733687701	841.294369550144	737.0304944619	1064.48143633195	616.607903163727	898.205020735675	1093.3419042535	514.018254617073	522.049485330315	1173.7261867811	1334.89059260101	930.399833256209	957.217140746759	581.84570001025	674.127154384891	501.511217057345	3590.34869741802	590.208147034443	1109.1723603476	512.584073420752	910.261935370957	2694.24476958054	386.894542559849	1026.53441504026	865.946756932091	1157.29828426681	1032.90298568107	1161.43381045574	648.376266658938	359.703930352965	1536.53971218237	1204.14408769461	1335.31496889178	564.624242481811
ALCAM	949.455796212994	1341.82914126892	1119.17644918943	732.695020965065	718.102556255679	1018.26285203731	2318.33998595289	134.795577236733	1462.34940158465	2075.8854534597	914.541292750525	588.164992069886	1652.18983842807	1940.93442045714	2644.36638066816	970.842421232016	1243.92032830317	520.900922637086	759.725022890219	583.12694222109	6787.98943356157	494.011502613384	4221.42587706691	4331.53672648527	993.316704323929	1431.98523989125	652.954947038301	4811.95070929286	7057.79313847406	721.207573324736	3087.82880130158	2698.71700916571	612.461125951492	1587.08424179466	3096.79790405906
AMBP	9.15647281214312	20.4487750120807	1240.27185086711	21.6773674841735	48.2758021012221	14.7396311513242	33.3792406354474	112.329647697277	22.7729606475918	68.9499320247586	14.0099942719229	23.0387208875301	24.1987400577848	18.4697938231338	5078.11950977867	16.1393241381281	11255.6614550622	16.4581650122302	21.7064292254348	17.907929127711	218.796644076328	672.404545223773	12.3873322739335	16.8215018504282	10.7153905536562	89.0512622376973	15.212212027774	123.948358281728	16.6619196436688	166.090906664687	29.6052617574457	25.5588797525443	16.8204186448713	10.8210289213272	7.97116577621381
